"보안등위치명",설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치년도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
"괴안동 151-12",1,경기도 부천시 은성로 109-26,경기도 부천시 괴안동 151-12,,,,,032-625-6777,경기도 부천시청,2019-09-10
"괴안동 71-12",1,경기도 부천시 안곡로 40-1,경기도 부천시 괴안동 71-12,,,2013,,032-625-6779,경기도 부천시청,2019-09-10
"소사본1동-216",1,,경기도 부천시 소사본1동 178-45,,,2009,,032-625-6262,경기도 부천시청,2019-09-10
"소사본1동-277",1,,경기도 부천시 소사본1동 233-42,,,,,032-625-6262,경기도 부천시청,2019-09-10
"소사본1동-229",1,,경기도 부천시 소사본1동 209-38,,,1986,,032-625-6262,경기도 부천시청,2019-09-10
"상동보행자도로 168",1,경기도 부천시 상이로67번길 18,경기도 부천시 상2동582-12호앞폴주(집안주차장에위치),,,,전용주,032-625-5885,경기도 부천시청,2019-09-10
"상동 370",1,경기도 부천시 상이로75번길 30-3,경기도 부천시 상2동579-9호앞폴주,,,,전용주,032-625-5885,경기도 부천시청,2019-09-10
"상동보행자 111",1,경기도 부천시 상이로51번길 9,경기도 부천시 상2동597-9호앞폴주,,,,전용주,032-625-5885,경기도 부천시청,2019-09-10
"상동 300",1,,경기도 부천시 상2동611-10호옆폴주,,,,전용주,032-625-5885,경기도 부천시청,2019-09-10
"상동 367",1,경기도 부천시 상이로51번길 8-34,경기도 부천시 상2동593-1호옆폴주,,,,전용주,032-625-5885,경기도 부천시청,2019-09-10
"상동 304",1,경기도 부천시 상일로 14-24,경기도 부천시 상2동606-1호앞폴주,,,,전용주,032-625-5885,경기도 부천시청,2019-09-10
"소사본1동-186",1,,경기도 부천시 소사본1동 183-25,,,1986,,032-625-6262,경기도 부천시청,2019-09-10
"소사본1동-147",2,,경기도 부천시 소사본1동 190-3,,,,,032-625-6262,경기도 부천시청,2019-09-10
"소사본1동-212",1,,경기도 부천시 소사본1동 178-41,,,1987,,032-625-6262,경기도 부천시청,2019-09-10
"소사본1동-106",1,경기도 부천시 은성로19번가길 7,경기도 부천시 소사본동 163-8 옥상,,,1986,,032-625-6262,경기도 부천시청,2019-09-10
"쌈지공원 고리울가로공원 보안등",30,,경기도 부천시 고강본동 산63-17,,,,전용주,032-625-3573,경기도 부천시청,2019-09-10
"완충녹지삼정 6",13,,경기도 부천시 삼정동 273,,,,전용주,032-625-3573,경기도 부천시청,2019-09-10
"완충녹지 삼정복지회관 뒤",3,,경기도 부천시 삼정동 365-4,,,,전용주,032-625-3573,경기도 부천시청,2019-09-10
"쌈지공원 여월동교회 앞 공영주차장",1,경기도 부천시 삼작로333번길 12,경기도 부천시 여월동 2-2,,,,전용주,032-625-3573,경기도 부천시청,2019-09-10
"쌈지공원 여월초등학교 앞 공영주차장",1,경기도 부천시 삼작로306번길 42,경기도 부천시 여월동 54-3,,,,전용주,032-625-3573,경기도 부천시청,2019-09-10
"쌈지공원 도당우물 하모니마트 뒤",6,,경기도 부천시 원종동 161-4,,,,전용주,032-625-3573,경기도 부천시청,2019-09-10
"쌈지공원 소사본동 주민센타 옆",18,경기도 부천시 호현로433번길 13,경기도 부천시 소사본동 148-26,,,,전용주,032-625-3573,경기도 부천시청,2019-09-10
"소새울힐링동산 보안등",8,경기도 부천시 소사동로 18,경기도 부천시 소사본동 413,,,,전용주,032-625-3573,경기도 부천시청,2019-09-10
"완충녹지 까치울전원3단지 일원",17,,경기도 부천시 작동 374,,,,전용주,032-625-3573,경기도 부천시청,2019-09-10
"제1약수터 성주산 등산로 보안등",13,,경기도 부천시 소사본동 61-6,,,,전용주,032-625-3573,경기도 부천시청,2019-09-10
"역곡3동 159-6",1,경기도 부천시 부광로41번길 40,경기도 부천시 역곡3동 159-6,,,1986,,032-625-7185,경기도 부천시청,2019-09-10
"송내동 혜진쌈지 보안등",9,,경기도 부천시 송내동 569-1,,,,전용주,032-625-3573,경기도 부천시청,2019-09-10
"상동보행자 162",1,,경기도 부천시 상2동 하얀마을 보행자도로,,,2007,전용주,032-625-5885,경기도 부천시청,2019-09-10
"상동보행자 133",1,경기도 부천시 조마루로105번길 8-85,경기도 부천시 상2동567-5호앞폴주,,,,전용주,032-625-5885,경기도 부천시청,2019-09-10
"상동보행자 121",1,경기도 부천시 조마루로97번길 25-15,경기도 부천시 상2동561-1호앞폴주,,,,전용주,032-625-5885,경기도 부천시청,2019-09-10
"상동보행자 126",1,경기도 부천시 상이로21번길 7-21,경기도 부천시 상2동612-2호옆폴주,,,,전용주,032-625-5885,경기도 부천시청,2019-09-10
"상동 263",1,경기도 부천시 소향로13번길 28-14,경기도 부천시 상2동 545-3번지앞,,,2003,전용주,032-625-5885,경기도 부천시청,2019-09-10
"상동 311",1,,경기도 부천시 상2동 상동고뒷쪽 보행자도로,,,2003,전용주,032-625-5885,경기도 부천시청,2019-09-10
"상동 364",1,경기도 부천시 상이로 61,경기도 부천시 상2동586-3호앞폴주,,,,전용주,032-625-5885,경기도 부천시청,2019-09-10
"상동보행자 150",1,경기도 부천시 상이로67번길 32-6,경기도 부천시 상2동 582-1번지앞폴주,,,2008,전용주,032-625-5885,경기도 부천시청,2019-09-10
"쌈지공원 약대오거리 기업은행 뒤",2,,경기도 부천시 도당동 214-6,,,,전용주,032-625-3573,경기도 부천시청,2019-09-10
"공공용지 16-2호 홈프러스 앞",6,,경기도 부천시 상동 541-2,,,,전용주,032-625-3573,경기도 부천시청,2019-09-10
"쌈지공원 소사경찰서 아래",4,경기도 부천시 경인로160번길 52,경기도 부천시 송내동 594-5,,,,전용주,032-625-3573,경기도 부천시청,2019-09-10
"완충녹지 36호시민의강 천주교회 옆 관리사",9,,경기도 부천시 상동 588-5,,,,전용주,032-625-3573,경기도 부천시청,2019-09-10
"미관광장 9호 시청뒤 보안등",6,경기도 부천시 길주로 205,경기도 부천시 중4동 1034,,,,전용주,032-625-3573,경기도 부천시청,2019-09-10
"쌈지공원 넘말경로당",3,경기도 부천시 부흥로 186,경기도 부천시 중동 682-6,,,,전용주,032-625-3573,경기도 부천시청,2019-09-10
"상동 280",1,경기도 부천시 상이로39번길 8-16,경기도 부천시 상2동 598-10번지,,,2008,전용주,032-625-5885,경기도 부천시청,2019-09-10
"상동 294",1,경기도 부천시 소향로37번길 31-15,경기도 부천시 상2동 545-9번지앞,,,2003,전용주,032-625-5885,경기도 부천시청,2019-09-10
"상동보행자도로 185",1,경기도 부천시 상이로9번길 15,경기도 부천시 상2동616-4호옆폴주,,,,전용주,032-625-5885,경기도 부천시청,2019-09-10
"상동보행자 109",1,경기도 부천시 소향로37번길 13-22,경기도 부천시 상2동 545-15번지앞,,,2003,전용주,032-625-5885,경기도 부천시청,2019-09-10
"상동 241",1,경기도 부천시 상이로39번길 18,경기도 부천시 상2동599-12호앞폴주,,,,전용주,032-625-5885,경기도 부천시청,2019-09-10
"완충녹지 24호 시민의강 진달래신동아",37,,경기도 부천시 상동 526-5,,,,전용주,032-625-3573,경기도 부천시청,2019-09-10
"녹지대 현진에버빌 앞",2,,경기도 부천시 역곡동 6-32,,,,전용주,032-625-3573,경기도 부천시청,2019-09-10
"원미동사람들거리 구청앞 보안등",8,경기도 부천시 부천로136번길 27,경기도 부천시 원미동 71,,,,전용주,032-625-3573,경기도 부천시청,2019-09-10
"상동보행자 131",1,경기도 부천시 부흥로 93,경기도 부천시 상2동 570-7 상원초시민의강옆,,,2008,전용주,032-625-5885,경기도 부천시청,2019-09-10
"상동 380",1,경기도 부천시 조마루로105번길 23,경기도 부천시 상2동560-7호앞폴주,,,,전용주,032-625-5885,경기도 부천시청,2019-09-10
"상동보행자 130",1,경기도 부천시 상이로85번길 7-14,경기도 부천시 상2동576-8호와7호사이폴주,,,,전용주,032-625-5885,경기도 부천시청,2019-09-10
"상동보행자 156",1,경기도 부천시 상이로67번길 19,경기도 부천시 상2동 583-4번지앞,,,2008,전용주,032-625-5885,경기도 부천시청,2019-09-10
"상동 362",1,경기도 부천시 상이로21번길 8-23,경기도 부천시 상2동608-1호옆폴주,,,,전용주,032-625-5885,경기도 부천시청,2019-09-10
"상동보행자도로 175",1,,경기도 부천시 상2동 하얀마을 2616동옆 보행자도로,,,2007,전용주,032-625-5885,경기도 부천시청,2019-09-10
"상동 306",1,경기도 부천시 조마루로105번길 8-59,경기도 부천시 상2동567-11호앞폴주,,,,전용주,032-625-5885,경기도 부천시청,2019-09-10
"상동보행자도로 174",1,경기도 부천시 상이로75번길 8-20,경기도 부천시 상2동 577-12번지,,,2008,전용주,032-625-5885,경기도 부천시청,2019-09-10
"소사본1동-100",1,,경기도 부천시 소사본1동 162-37,,,,,032-625-6262,경기도 부천시청,2019-09-10
"소사본1동-157",1,,경기도 부천시 소사본1동 171-24,,,,,032-625-6262,경기도 부천시청,2019-09-10
"소사본1동-318",1,경기도 부천시 소사로125번나길 32,경기도 부천시 소사구 소사본1동 233-41,,,2014,,032-625-6262,경기도 부천시청,2019-09-10
"소사본1동-126",1,,경기도 부천시 소사본1동 174-12옆,,,1986,,032-625-6262,경기도 부천시청,2019-09-10
"소사본1동-286",1,,경기도 부천시 소사본1동 231-55,,,2009,,032-625-6262,경기도 부천시청,2019-09-10
"소사본1동-281",1,경기도 부천시 소사로141번길 14-1,경기도 부천시 소사본3동 233-21,,,1986,,032-625-6262,경기도 부천시청,2019-09-10
"소사본1동-264",1,,경기도 부천시 소사본1동 234-34앞,,,1986,,032-625-6262,경기도 부천시청,2019-09-10
"소사본1동-045",1,,경기도 부천시 소사본1동 142-7,,,,,032-625-6262,경기도 부천시청,2019-09-10
"괴안동 92-16",1,경기도 부천시 안곡로68번길 10,경기도 부천시 괴안동 92-16,,,2010,,032-625-6819,경기도 부천시청,2019-09-10
"괴안동 90",1,경기도 부천시 안곡로 41,경기도 부천시 괴안동 90,,,1986,,032-625-6820,경기도 부천시청,2019-09-10
"괴안동 111-36",1,경기도 부천시 경인로425번길 110,경기도 부천시 괴안동 111-36,,,1986,,032-625-6821,경기도 부천시청,2019-09-10
"중동보행자등 139",1,,경기도 부천시 중2동 1261번지 그린타운마을 보행자도로,,,1994,전용주,032-625-5675,경기도 부천시청,2019-09-10
"중동보행자등 142",1,,경기도 부천시 중2동 1261번지 그린타운마을 보행자도로 중앙공원쪽,,,1994,전용주,032-625-5675,경기도 부천시청,2019-09-10
"중동보행자등 145",1,,경기도 부천시 중2동 1261번지 그린타운 보행자도로 관리실옆,,,1994,전용주,032-625-5675,경기도 부천시청,2019-09-10
"중동보행자등 147",1,,경기도 부천시 중2동 1261번지 그린타운마을 보행자도로 1312동앞,,,1994,전용주,032-625-5675,경기도 부천시청,2019-09-10
"중동보행자등 150",1,,경기도 부천시 중2동 1261번지 그린타운마을 보행자도로 공원옆,,,1994,전용주,032-625-5675,경기도 부천시청,2019-09-10
"소사본3동-009",1,경기도 부천시 은성로67번길 29,경기도 부천시 소사본3동 156-6,,,1986,,032-625-6262,경기도 부천시청,2019-09-10
"소사본3동-134",1,경기도 부천시 은성로68번길 29,경기도 부천시 소사본3동 198-4,,,1986,,032-625-6262,경기도 부천시청,2019-09-10
"심곡동 463",1,,경기도 부천시 심곡2동 316-6번지(이화연립맞는편 전철담벽위치),,,,한전주,032-625-5074,경기도 부천시청,2019-09-10
"심곡동 491",2,경기도 부천시 부천로10번길 33,경기도 부천시 심곡2동 170-9앞 코너 위치,,,,한전주,032-625-5074,경기도 부천시청,2019-09-10
"심곡동 365",1,경기도 부천시 부일로445번길 22,경기도 부천시 심곡2동 404-6 앞 위치,,,,한전주,032-625-5074,경기도 부천시청,2019-09-10
"심곡동 402",1,경기도 부천시 부천로1번길 34,경기도 부천시 심곡2동 386-2번지앞 철로변전주,,,,한전주,032-625-5074,경기도 부천시청,2019-09-10
"심곡동 971",1,경기도 부천시 부일로391번길 31,경기도 부천시 심곡3동 345-50 앞 위치,,,,한전주,032-625-5074,경기도 부천시청,2019-09-10
"심곡동 943",1,경기도 부천시 신흥로39번길 12-2,경기도 부천시 심곡3동 348-26 앞 위치,,,,한전주,032-625-5074,경기도 부천시청,2019-09-10
"심곡동 786",1,경기도 부천시 심중로92번길 12,경기도 부천시 심곡3동 321-8 앞 위치,,,,한전주,032-625-5074,경기도 부천시청,2019-09-10
"심곡동 833",1,경기도 부천시 장말로 309,경기도 부천시 심곡3동 300번지(298-33맞은편 심곡초등학교담벽위치),,,,한전주,032-625-5074,경기도 부천시청,2019-09-10
"심곡동 728",2,,경기도 부천시 심곡3동 30-34 앞 코너 위치,,,,한전주,032-625-5074,경기도 부천시청,2019-09-10
"심곡동 872",1,경기도 부천시 장말로279번길 21,경기도 부천시 심곡3동 221-2 앞 위치,,,,한전주,032-625-5074,경기도 부천시청,2019-09-10
"심곡동 708",1,경기도 부천시 심중로72번길 1,경기도 부천시 심곡3동 335-11 앞 위치,,,,한전주,032-625-5074,경기도 부천시청,2019-09-10
"원미동 455",1,경기도 부천시 부흥로457번길 93,경기도 부천시 원미2동 188-17 옥상 위치,,,,건축물,032-625-5074,경기도 부천시청,2019-09-10
"소사본3동-266",1,경기도 부천시 소사로126번길 15,경기도 부천시 소사본3동 229-12 (223-49 앞),,,1986,,032-625-6262,경기도 부천시청,2019-09-10
"소사본3동-216",1,경기도 부천시 은성로76번길 77,경기도 부천시 소사본3동 284-20,,,,,032-625-6262,경기도 부천시청,2019-09-10
"역곡3동 124-1",1,경기도 부천시 부광로21번길 8,경기도 부천시 역곡3동 124-1,,,1986,,032-625-6912,경기도 부천시청,2019-09-10
"옥길동 479-2 앞 (산59-2)",1,경기도 부천시 연동로98번길 11-1,경기도 부천시 옥길동 479-2 앞 (산59-2),,,1987,,032-625-6914,경기도 부천시청,2019-09-10
"괴안동 118-11",1,경기도 부천시 부광로32번길 15,경기도 부천시 괴안동 118-11,,,2014,,032-625-6918,경기도 부천시청,2019-09-10
"역곡3동 103",1,경기도 부천시 경인로484번길 75,경기도 부천시 역곡3동 103,,,1986,,032-625-6921,경기도 부천시청,2019-09-10
"역곡3동 118-18",1,경기도 부천시 경인로498번길 71,경기도 부천시 역곡3동 118-18,,,2002,,032-625-6922,경기도 부천시청,2019-09-10
"역곡3동 176-1",1,경기도 부천시 경인로548번길 35,경기도 부천시 역곡3동 176-1,,,1986,,032-625-6925,경기도 부천시청,2019-09-10
"역곡3동 69-13앞(괴안회주로)",1,,경기도 부천시 역곡3동 69-13앞(괴안회주로),,,2004,,032-625-6927,경기도 부천시청,2019-09-10
"역곡3동 107-8",1,경기도 부천시 부광로16번길 33,경기도 부천시 역곡3동 107-8,,,2009,,032-625-7048,경기도 부천시청,2019-09-10
"계수동 4-23",1,경기도 부천시 범안로178번길 17,경기도 부천시 계수동 4-23,,,1987,,032-625-6500,경기도 부천시청,2019-09-10
"계수동 4-23",1,경기도 부천시 범안로178번길 17,경기도 부천시 계수동 4-23,,,1987,,032-625-6502,경기도 부천시청,2019-09-10
"계수동 4-51",1,경기도 부천시 범안로169번길 29-1,경기도 부천시 계수동 4-51,,,2007,,032-625-6505,경기도 부천시청,2019-09-10
"계수동 산3-9 (산3-21)",1,,경기도 부천시 계수동 산3-9 (산3-21),,,2009,,032-625-6508,경기도 부천시청,2019-09-10
"범박동 109-7",1,경기도 부천시 범박로 18-12,경기도 부천시 범박동 109-7,,,1987,,032-625-6511,경기도 부천시청,2019-09-10
"범박동 216-1",1,,경기도 부천시 범박동 216-1,,,2006,,032-625-6513,경기도 부천시청,2019-09-10
"범박동 150-1 (배수지 입구)",1,,경기도 부천시 범박동 150-1 (배수지 입구),,,2006,,032-625-6516,경기도 부천시청,2019-09-10
"범박동 44-2",1,,경기도 부천시 범박동 44-2,,,2010,,032-625-6520,경기도 부천시청,2019-09-10
"범박동 9-5 교량하부 (5)",1,,경기도 부천시 범박동 9-5 교량하부 (5),,,2008,,032-625-6523,경기도 부천시청,2019-09-10
"범박동 9-1 (9-5)",1,,경기도 부천시 범박동 9-1 (9-5),,,2007,,032-625-6525,경기도 부천시청,2019-09-10
"게수동 15-26 (15-22 앞)",1,,경기도 부천시 게수동 15-26 (15-22 앞),,,1987,,032-625-6528,경기도 부천시청,2019-09-10
"범박동 106",1,,경기도 부천시 범박동 106,,,2007,,032-625-6532,경기도 부천시청,2019-09-10
"범박동 113-1",1,경기도 부천시 범박로 31,경기도 부천시 범박동 113-1,,,2011,,032-625-6535,경기도 부천시청,2019-09-10
"상동 29",1,경기도 부천시 부일로308번길 23,경기도 부천시 상동 329-1 앞 골목 모퉁이 위치,,,,한전주,032-625-5513,경기도 부천시청,2019-09-10
"상동 122",1,경기도 부천시 장말로176번길 39-14,경기도 부천시 상동 241-17 벽면에 위치,,,,건축물,032-625-5513,경기도 부천시청,2019-09-10
"상동 79",1,경기도 부천시 석천로38번길 76-1,경기도 부천시 상동 246-18 옥상 위치,,,,건축물,032-625-5513,경기도 부천시청,2019-09-10
"상동 36",1,경기도 부천시 중동로85번길 23,경기도 부천시 상동 327-2 앞 (327-3과 사이에 위치),,,,한전주,032-625-5513,경기도 부천시청,2019-09-10
"상동보행자도로45",1,,경기도 부천시 상동451-4호앞 보행자도로,,,,전용주,032-625-5513,경기도 부천시청,2019-09-10
"소사본3동-126",1,경기도 부천시 은성로68번길 17-7,경기도 부천시 소사본3동 196-29,,,1986,,032-625-6262,경기도 부천시청,2019-09-10
"소사본3동-217",1,경기도 부천시 소사로160번길 68-8,경기도 부천시 소사본3동 286-6,,,,,032-625-6262,경기도 부천시청,2019-09-10
"원미동 753",1,경기도 부천시 부천로96번길 5,경기도 부천시 원미2동 131-17 옥상 위치,,,,건축물,032-625-5074,경기도 부천시청,2019-09-10
"원미동 669",1,경기도 부천시 원미로97번길 32,경기도 부천시 원미2동 121-7 반도빌라 1동 (120-7 맞은편옥상위치),,,,건축물,032-625-5074,경기도 부천시청,2019-09-10
"원미동 650",1,경기도 부천시 원미로89번길 30,경기도 부천시 원미2동 141-15 옥상 위치,,,,건축물,032-625-5074,경기도 부천시청,2019-09-10
"원미동 711",1,경기도 부천시 원미로 111,경기도 부천시 원미2동 115-1 (유림주택 마동 남쪽끝 옥상위치),,,,건축물,032-625-5074,경기도 부천시청,2019-09-10
"원미동619",1,경기도 부천시 원미로89번길 35-2,경기도 부천시 원미2동 148-29번지옥상,,,2009,건축물,032-625-5074,경기도 부천시청,2019-09-10
"원미동 665",1,경기도 부천시 부천로96번길 66,경기도 부천시 원미2동 119-2 (한양빌라 나동 옥상 중앙 위치 1개),,,,건축물,032-625-5074,경기도 부천시청,2019-09-10
"원미동 695",1,경기도 부천시 조종로 38,경기도 부천시 원미2동 117-2 (명성빌라 다동옥상 길가쪽위치),,,,건축물,032-625-5074,경기도 부천시청,2019-09-10
"원미동 686",1,경기도 부천시 조종로 28-5,경기도 부천시 원미2동 123-3 옥상 위치,,,,건축물,032-625-5074,경기도 부천시청,2019-09-10
"원미동 656",1,경기도 부천시 조종로36번길 26,경기도 부천시 원미2동 126-4 동사무소 옥상 동쪽위치,,,,건축물,032-625-5074,경기도 부천시청,2019-09-10
"원미동 580",1,경기도 부천시 부흥로413번길 44-8,경기도 부천시 원미2동 194-20 옥상 위치,,,,건축물,032-625-5074,경기도 부천시청,2019-09-10
"원미동 563",1,경기도 부천시 원미로 91-6,경기도 부천시 원미2동 181-9 벽면 위치,,,,건축물,032-625-5074,경기도 부천시청,2019-09-10
"원미동 740",1,경기도 부천시 부천로96번길 20-2,경기도 부천시 원미2동 132-14 옥상 위치,,,,건축물,032-625-5074,경기도 부천시청,2019-09-10
"원미동 677",1,경기도 부천시 원미로97번길 8,경기도 부천시 원미2동 116-4 건물옥상 코너 위치,,,,건축물,032-625-5074,경기도 부천시청,2019-09-10
"역곡3동 159-4",1,경기도 부천시 부광로41번길 36,경기도 부천시 역곡3동 159-4,,,1986,,032-625-6935,경기도 부천시청,2019-09-10
"역곡3동 119-19",1,경기도 부천시 경인로498번길 89,경기도 부천시 역곡3동 119-19,,,1986,,032-625-6936,경기도 부천시청,2019-09-10
"괴안동 175-4",1,경기도 부천시 경인로562번길 20,경기도 부천시 괴안동 175-4,,,1986,,032-625-6939,경기도 부천시청,2019-09-10
"범박동 산21-24",1,,경기도 부천시 범박동 산21-24,,,2008,,032-625-6592,경기도 부천시청,2019-09-10
"계수동 5-2",1,,경기도 부천시 계수동 5-2,,,2000,,032-625-6594,경기도 부천시청,2019-09-10
"계수동 산2-5",1,,경기도 부천시 계수동 산2-5,,,2006,,032-625-6597,경기도 부천시청,2019-09-10
"범박동 44-8 (산 21-24 옆)",1,,경기도 부천시 범박동 44-8 (산 21-24 옆),,,1987,,032-625-6600,경기도 부천시청,2019-09-10
"계수동 4-43",1,,경기도 부천시 계수동 4-43,,,2008,,032-625-6602,경기도 부천시청,2019-09-10
"범박동 59-12",1,,경기도 부천시 범박동 59-12,,,2009,,032-625-6605,경기도 부천시청,2019-09-10
"송내2동-194",1,경기도 부천시 성주로108번길 18-8,경기도 부천시 송내2동 463-87,,,,,032-625-6075,경기도 부천시청,2019-09-10
"송내2동-071",1,경기도 부천시 심곡로14번길 45,경기도 부천시 송내2동 595,,,,,032-625-6075,경기도 부천시청,2019-09-10
"송내2동-017",1,경기도 부천시 경인로137번가길 38,경기도 부천시 송내2동 565-4,,,,,032-625-6075,경기도 부천시청,2019-09-10
"송내2동-112",1,경기도 부천시 심곡로34번길 78-11,경기도 부천시 송내2동 590-2(다동 앞),,,,,032-625-6075,경기도 부천시청,2019-09-10
"심곡동 364",1,경기도 부천시 부일로445번길 30,경기도 부천시 심곡2동 405-6 앞 코너 위치,,,,한전주,032-625-5074,경기도 부천시청,2019-09-10
"상동 151",1,경기도 부천시 석천로52번길 23,경기도 부천시 상동 232-28 앞 위치,,,,한전주,032-625-5513,경기도 부천시청,2019-09-10
"상동 86",1,경기도 부천시 석천로30번길 55,경기도 부천시 상동 246-33 옥상 위치,,,,건축물,032-625-5513,경기도 부천시청,2019-09-10
"상동 46",1,경기도 부천시 중동로85번길 47-4,경기도 부천시 상동 324-5 옥상 위치,,,,건축물,032-625-5513,경기도 부천시청,2019-09-10
"중동보행자등 136",1,,경기도 부천시 중2동 1261번지 그린타운마을 보행자도로 공원옆,,,1994,전용주,032-625-5675,경기도 부천시청,2019-09-10
